"fold_id","district","district_old","pca","orig_area","district_perim","parts","circle_perim","circle_area","hull_perim","hull_area","reock","hull","grofman","polsby","corners","xvar","yvar","sym_x","sym_y","points","var_xcoord","var_ycoord","avgline","varline","boyce","lenwid"
"set1.41","29_L_137_2010","29_0_137",25.4901960784314,994817140.431,172431.654255,1,160517.343075,2012121738.04,137163.699436,1215224824.98,0.494412003818441,0.818628059583438,5.4669533116168,0.420454624972942,40,127.297,106.555,0.190931220759,0.299596568128,249,0.0212729908048341,0.00959343224849698,0.00704619554598084,0.000113510354970204,0.184369437586618,1.05069326421939
"set1.42","30_L_083_2010","30_0_083",39.2156862745098,15000404408.4,785717.016942,1,966299.543031,70635864141.5,596148.897175,19981499113.5,0.212362439261035,0.750714664760331,6.41526610009833,0.305337758772667,66,187.068,92.211,0.567915629613,0.502531872273,1085,0.627737204575928,0.0594291147922962,0.00841062288109836,0.000470109195087019,0.409948041688189,3.03964648970179
"set1.43","30_U_001_2010","30_1_001",17.6470588235294,9517835452.77,509183.121872,1,458288.089342,15703547569.6,396613.81288,10779939904.8,0.606094604457102,0.882921012252766,5.21921158435621,0.461317635546623,44,123.996,115.188,0.172802553068,0.558727340992,702,0.20820655232137,0.13796708120241,0.00810377328244991,0.000931125135209168,0.329323355416174,1.29428314241681
"set1.44","30_U_018_2010","30_1_018",34.3137254901961,30052458808.4,1166292.29241,1,1283960.91576,123384279578,839239.03675,36453232971.5,0.243567972444996,0.824411344582131,6.72771212957411,0.277635542752657,39,195.738,80.0718,0.334908562127,0.648700049137,1195,1.58395770177533,0.0802069540801752,0.0116777832484019,0.000849426393941639,0.409262374470354,3.28033631743734
"set1.45","30_U_022_2010","30_1_022",46.078431372549,9016185397.2,737020.483796,1,847639.733757,54475615170.8,513548.390366,13693033094.4,0.165508647656958,0.658450566433475,7.76190175712645,0.208580440798668,80,205.684,64.8627,0.363384768881,0.548181167252,1152,0.986518395146636,0.0366719307903252,0.00734217089592482,0.000483362174621915,0.398357320032479,3.38031706463941
"set1.46","30_U_037_2010","30_1_037",43.1372549019608,1436631570.85,219265.825098,1,269774.348449,5523382277.56,175186.582144,1940317079.01,0.260099971114917,0.740410722758265,5.7849318159837,0.375502968823067,59,132.297,108.388,0.25105875441,0.323818994397,531,0.0528405742919803,0.015800278225882,0.00469880264951668,6.74572019310749e-05,0.247903100612835,2.0217417317992
"set1.47","31_U_028_2010","31_1_028",15.6862745098039,19247619.9479,22641.3933042,1,26114.4211749,52766101.2504,20344.1471034,24562742.7926,0.364772448443007,0.783610369184777,5.16077151194944,0.471824622329866,12,251.183,128.938,0.421116119618,0.277281746305,53,0.000782579677181666,0.000163049130244125,0.0046338360425574,1.41438483450888e-05,0.351378542669493,2.09851348629347
"set1.48","32_L_009_2010","32_0_009",3.92156862745098,70813074.4934,39206.637589,1,41252.6004564,133238775.326,35249.8656179,81740941.1965,0.531474972808322,0.866310975343064,4.65910902215243,0.57890075782592,15,77.8135,168.53,0.217264714603,0.107727253737,56,0.000953558560844055,0.00181796621892109,0.00702237093069522,7.87732428001048e-05,0.164786616936625,0.845222521243326
"set1.49","32_L_022_2010","32_0_022",55.8823529411765,49252098.4115,43161.7965212,1,47537.861177,176960278.76,33770.9589471,70741947.3427,0.278322902498913,0.696221976657,6.15017032882399,0.332227498798728,26,200.824,74.8069,0.164412019686,0.52447780021,88,0.00251270949047397,0.000371198219331959,0.00511722513404334,2.87853868937384e-05,0.310731195679758,2.23346344970054
"set1.50","33_L_726_2010","33_0_726",10.7843137254902,1753175.324,5920.13766655,1,6296.7124261,3043920.66811,5513.99603233,1968100.16662,0.575959597885501,0.890795780486564,4.47114888026917,0.628595983256431,11,94.0773,115.995,0.37836269490036,0.327045448319646,23,4.14329153966052e-05,3.8700027194447e-05,0.00283493594569022,5.31299529762823e-06,0.174314199009715,1.07024817932787
